"Price"	"Name"
26990	"HP"
54599	"Apple"
38990	"HP"
18675	"Acer"
23998	"Dell"
41000	"HP"
23797	"Dell"
44999	"Lenovo"
19450	"Dell"
21990	"Acer"
35425	"HP"
27490	"HP"
47500	"Lenovo"
20990	"HP"
33100	"Acer"
41040	"HP"
17760	"Dell"
22965	"iBall"
29959	"Dell"
21990	"Dell"
19990	"Dell"
34999	"Dell"
13695	"HP"
53999	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
11999	"iBall"
20999	"LENOVO"
28980	"Dell"
29650	"HP"
28790	"Dell"
28290	"HP"
19965	"Acer"
9990	"Micromax"
22100	"HP"
32689	"Dell"
26862	"Dell"
32300	"Dell"
40183	"Acer"
37990	"Lenovo"
62190	"Dell"
46000	"HP"
30990	"HP"
47890	"Dell"
22499	"Acer"
23990	"Acer"
20795	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
28690	"Asus"
44536	"Dell"
37990	"Dell"
79990	"ASUS"
34888	"HP"
22690	"HP"
32482	"Lenovo"
22398	"HP"
3999	"Datawind"
59540	"ASUS"
25417	"Asus"
59299	"HP"
16749	"Asus"
31590	"Lenovo"
12999	"Venturer"
26400	"HP"
48370	"HP"
12615	"RDP"
35499	"HP"
27990	"HP"
37990	"Lenovo"
28980	"Dell"
39980	"Dell"
21485	"Dell"
39875	"Lenovo"
33000	"Hp"
24430	"Dell"
19700	"HP"
91900	"MSI"
45990	"HP"
42499	"HP"
19319	"ASUS"
22990	"Dell"
34990	"HP"
17990	"Acer"
52899	"HP"
13400	"iBall"
41699	"Asus"
79999	"Dell"
21485	"Lenovo"
76990	"Dell"
27990	"MSI"
45860	"Fujitsu"
56199	"Lenovo"
38990	"Dell"
28980	"Dell"
39980	"Dell"
21485	"Dell"
33550	"Acer"
44640	"Asus"
45488	"HP"
9990	"Micromax"
43380	"HP"
27990	"Dell"
18599	"LENOVO-NB-V110"
66599	"Dell"
28687	"Dell"
20487	"HP"
27990	"Lenovo"
25750	"Acer"
65900	"HP"
46980	"HP"
12999	"Venturer"
36671	"Lenovo"
79988	"Apple"
22999	"Dell"
30971	"Asus"
44200	"Asus"
61479	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
39990	"Lenovo"
55999	"Dell"
24000	"HP"
49999	"Lenovo"
32399	"DELL"
34598	"Dell"
31790	"HP"
12999	"RDP"
65990	"Lenovo"
32490	"HP"
55899	"ASUS"
85480	"Dell"
22499	"HP"
52489	"HP"
45990	"LENOVO"
208690	"Apple"
47913	"Asus"
22990	"HP"
65199	"Apple"
45000	"Lenovo"
13685	"RDP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
55990	"Dell"
98998	"Lenovo"
34900	"Dell"
22900	"Dell"
48685	"Lenovo"
35980	"Dell"
28400	"HP"
23990	"Asus"
31449	"Lenovo"
22500	"Lenovo"
95146.61	"Acer"
44990	"Lenovo"
55522	"ASUS"
24949	"Acer"
32939	"HP"
44705	"Lenovo"
78999	"Dell"
37990	"Asus"
25988	"HP"
33975	"Acer"
22599	"Dell"
28980	"Dell"
39980	"Dell"
21485	"Dell"
21995	"Dell"
1199	"PAffy"
57990	"Asus"
35499	"DELL"
28490	"Asus"
28584	"Asus"
20999	"Notion"
29299	"HP"
27990	"Acer"
40990	"Asus"
82895	"Asus"
20399	"Apple"
64990	"Lenovo"
67210	"Dell"
19540	"HP"
